fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
60.188,16.6146,30.2251,0,81,68,67,1641,875,7.74182,79,4.57113,0,2.35145,4316,154318926292
60.1076,16.6368,28.3871,0,80,68,67,1448,875,7.73443,75,4.56488,0,2.35185,4316,155318987640
60.9698,16.4016,28.5024,0,80,68,67,1361,875,7.60084,63,4.55976,0,2.34671,4321,156319048176
60.0596,16.6501,30.5648,0,79,68,67,1316,875,7.6871,65,4.56371,0,2.34951,4327,157319118772
60.0159,16.6623,28.871,0,79,68,67,1177,875,7.59395,65,4.56386,0,2.34485,4335,158319187283
60.1144,16.635,30.7309,0,78,68,67,1688,875,7.59531,71,4.56265,0,2.35393,4317,159319246547
60.0569,16.6509,30.0654,0,82,68,67,1575,875,7.62672,80,4.56015,0,2.35337,4301,160319296995
60.0176,16.6618,31.6054,0,82,68,68,1595,875,7.62788,80,4.54742,0,2.3489,4296,161319349556
60.0963,16.64,31.9936,0,81,69,68,1508,875,7.64367,77,4.55662,0,2.35487,4316,162319403240
59.9945,16.6682,33.44,0,81,69,68,1560,875,7.64346,79,4.56077,0,2.36428,4342,163319455080
60.0078,16.6645,32.6367,0,83,69,68,1493,875,7.85629,84,4.55866,0,2.36069,4317,164319511047
60.0537,16.6518,30.3371,0,83,69,68,1355,875,7.85907,85,4.55949,0,2.35445,4324,165319578597
60.1143,16.635,29.7254,0,81,69,68,1701,875,7.85505,83,4.55834,0,2.35326,4327,166319688005
60.1438,16.6268,29.3076,0,81,69,67,1585,875,7.78583,76,4.55714,0,2.35328,4316,167319746358
60.1211,16.6331,29.695,0,81,69,68,1416,875,7.80059,75,4.55394,0,2.3563,4322,168319811944
60.0733,16.6463,31,0,82,69,68,1442,875,7.66842,81,4.55055,0,2.35616,4316,169319874784
60.0269,16.6592,34.584,0,93,69,69,1723,875,7.96604,101,4.60168,0,2.38191,4278,170319933127
60.0528,16.652,29.3831,0,89,69,69,1824,875,7.83463,102,4.58099,0,2.35365,4323,171320241759
60.062,16.6495,30.9904,0,90,69,69,1818,875,7.83648,103,4.57825,0,2.35366,4354,172320302716
59.9843,16.671,29.6774,0,90,69,70,1813,875,7.83786,103,4.57324,0,2.35373,4320,173320366178
60.0428,16.6548,29.6482,0,91,69,70,1811,875,7.83946,104,4.56894,0,2.35371,4316,174320420994
60.0006,16.6665,30.6156,0,96,69,70,1841,875,7.84073,109,4.56257,0,2.35263,4316,175320491279
60.2609,16.5945,29.1326,0,97,69,70,1839,875,7.84162,110,4.55619,0,2.35274,4316,176320557135
60.1657,16.6208,30.4207,0,97,69,70,1834,875,7.84241,109,4.55444,0,2.35285,4316,177320627330
60.0195,16.6612,30.1459,0,97,69,71,1836,875,7.84377,109,4.55345,0,2.35287,4291,178320690040
60.0309,16.6581,29.6296,0,96,68,70,1839,875,7.84518,109,4.55143,0,2.35287,4316,179320734797
60.1905,16.6139,29.511,0,96,68,71,1842,875,7.8462,108,4.54946,0,2.35287,4316,180320814449
58.6961,17.0369,30.6291,0,97,68,71,1832,875,7.847,109,4.54992,0,2.35281,4316,181320844619
58.6258,17.0573,30.6688,0,98,68,71,1837,875,7.84803,111,4.55019,0,2.35284,4316,182320899945
59.3603,16.8463,30.3333,0,98,68,71,1836,875,7.84899,110,4.55074,0,2.35287,4305,183320956585
60.1595,16.6225,29.316,0,97,69,71,1840,875,7.84964,110,4.55081,0,2.35287,4316,184321011200
60.0008,16.6664,27.8317,0,87,68,71,1681,875,7.87105,99,4.56311,0,2.36069,4302,185321067468
60.0766,16.6454,29.1465,0,90,68,71,1808,875,7.9229,104,4.56691,0,2.36885,4314,186321119950
60.0195,16.6612,28.7805,0,97,68,71,1834,875,7.94308,110,4.63406,0,2.39462,4315,187321174505
60.4264,16.5491,31.9468,0,95,69,72,1832,875,7.86771,108,4.63536,0,2.39521,4266,188321233598
59.9994,16.6668,30.1303,0,91,69,72,1816,875,7.93948,104,4.6296,0,2.39151,4317,189321298824
