os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.304,16.8623,30.1127,0,92,57,74,1846,875,3.95481,97,5.67762,0,3.48165,4441,149280767000
60.0542,16.6516,29.288,0,95,57,75,1824,875,3.95481,103,5.6778,0,3.4821,4407,150280833890
59.5366,16.7964,30.1165,0,95,57,75,1849,875,3.95494,102,5.67719,0,3.4821,4398,151280901220
59.8913,16.6969,30.609,0,96,57,75,1847,875,3.95514,103,5.67457,0,3.47952,4402,152280973870
59.8821,16.6995,28.243,0,96,57,75,1846,875,3.95513,103,5.67422,0,3.47964,4405,153281042273
59.9966,16.6676,27.7027,0,84,57,74,1846,875,3.95513,87,5.67643,0,3.48228,4423,154281108461
59.8461,16.7095,28.8493,0,93,57,75,1849,875,3.9552,102,5.67651,0,3.48228,4410,155281174028
60.0166,16.662,28.6872,0,94,57,75,1810,875,3.95531,102,5.67386,0,3.48029,4441,156281240366
60.6304,16.4934,28.2714,0,87,57,75,1806,875,3.95531,96,5.67382,0,3.48029,4391,157281315692
60.0418,16.6551,26.8836,0,92,57,75,1847,875,3.95523,98,5.67356,0,3.47551,4433,158281389604
59.5708,16.7868,28.6416,0,98,57,75,1845,875,3.95539,106,5.67269,0,3.47757,4441,159281457125
58.2603,17.1644,28.3557,0,99,57,75,1848,875,3.95539,108,5.67402,0,3.47776,4366,160281531108
60.0141,16.6628,27.8956,0,98,57,75,1848,875,3.95539,107,5.67399,0,3.47777,4391,161281610751
58.3384,17.1414,27.7129,0,93,57,75,1833,875,3.95539,101,5.67345,0,3.47787,4366,162281693901
57.2877,17.4557,27.4834,0,90,56,75,1827,875,3.95539,100,5.67655,0,3.48108,4391,163281762464
59.8064,16.7206,26.4274,0,90,57,75,1798,875,3.95539,97,5.67083,0,3.47918,4392,164281842007
59.2082,16.8896,24.918,0,85,56,74,1648,875,3.95539,93,5.66782,0,3.47426,4391,165282166440
29.8818,33.4652,24.0566,0,82,56,74,1539,875,3.95539,88,5.66763,0,3.47426,4420,166282265760
29.8469,33.5044,18.3673,0,70,56,72,1370,875,3.95563,47,5.66831,0,3.47479,3948,167282356885
60.0534,16.6519,18.6386,0,66,56,72,1266,875,3.95539,50,5.66852,0,3.47931,4416,168282442690
60.1423,16.6272,25.5663,0,82,56,74,1684,875,3.95539,89,5.67043,0,3.48066,4430,169283624881
60.056,16.6511,24.6732,0,80,56,74,1649,875,3.95539,86,5.67043,0,3.48066,4432,170283719262
59.7921,16.7246,24.2226,0,82,56,74,1632,875,3.95539,84,5.67219,0,3.48066,4400,171283811639
59.9072,16.6925,23.9344,0,79,56,73,1591,875,3.95539,83,5.67264,0,3.48072,4366,172283906141
60.2074,16.6092,26.2185,0,80,56,73,1621,875,3.95539,83,5.67689,0,3.4845,4441,173283980234
